Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2023-09-27,211.98541259765625,26352.716796875,1597.4912109375,0.4995970129966736,215.72874450683594,26817.841796875,1631.9107666015625,0.5064759850502014,210.88600158691406,26111.46484375,1585.368896484375,0.4973739981651306,212.37139892578125,26209.498046875,1593.1082763671875,0.5017039775848389,753741988,11718380997,5533036096,748882159
2023-09-28,215.07598876953125,27021.546875,1652.8826904296875,0.5095250010490417,216.77532958984375,27259.5,1666.024169921875,0.5095250010490417,211.6513214111328,26327.322265625,1597.294677734375,0.495606005191803,211.99095153808594,26355.8125,1597.6719970703125,0.4995900094509125,358321830,14079002707,6658092168,786510398
2023-09-29,215.2794189453125,26911.720703125,1667.94384765625,0.5217189788818359,217.25770568847656,27225.9375,1687.28125,0.5454570055007935,214.50637817382812,26721.763671875,1648.656494140625,0.5068169832229614,215.09397888183594,27024.841796875,1652.9998779296875,0.5095369815826416,335321479,10396435377,5529687537,1721538761
2023-09-30,214.82130432128906,26967.916015625,1671.161865234375,0.515404999256134,216.31216430664062,27091.794921875,1692.5311279296875,0.5216889977455139,214.4836883544922,26888.96875,1666.5638427734375,0.5152069926261902,215.2777862548828,26911.689453125,1667.83447265625,0.5216889977455139,243788424,5331172801,3155292192,544604664
2023-10-01,218.04713439941406,27983.75,1733.8104248046875,0.5242040157318115,219.1338348388672,28047.23828125,1750.595703125,0.5252199769020081,213.5065155029297,26965.09375,1670.0821533203125,0.51494300365448,214.80032348632812,26967.396484375,1671.1614990234375,0.5153679847717285,387408083,9503917434,5054880180,549430554
2023-10-02,214.7579345703125,27530.78515625,1663.6275634765625,0.51283198595047,221.18829345703125,28494.458984375,1743.5635986328125,0.5255429744720459,213.54632568359375,27347.787109375,1646.07763671875,0.5109900236129761,218.04934692382812,27976.798828125,1732.9840087890625,0.5242040157318115,466879383,19793041322,8420552922,946645872
2023-10-03,213.43594360351562,27429.978515625,1656.6856689453125,0.5383870005607605,215.72119140625,27667.19140625,1670.3563232421875,0.5449010133743286,212.77056884765625,27216.001953125,1644.4964599609375,0.5074650049209595,214.7349090576172,27508.251953125,1662.88720703125,0.5128120183944702,305437646,11407814187,4742827302,1206543606
2023-10-04,213.4130859375,27799.39453125,1647.838134765625,0.5329310297966003,213.7624053955078,27826.658203125,1657.2535400390625,0.5410130023956299,210.9364013671875,27248.10546875,1629.4266357421875,0.5232620239257812,213.44146728515625,27429.07421875,1656.7359619140625,0.5384039878845215,357560724,11143355314,5127524863,1467518350
2023-10-05,210.67967224121094,27415.912109375,1611.4764404296875,0.5233659744262695,213.78359985351562,28091.861328125,1654.3790283203125,0.5329570174217224,210.4712371826172,27375.6015625,1609.8499755859375,0.5188279747962952,213.42274475097656,27798.646484375,1647.7882080078125,0.5329570174217224,351872670,11877253670,5403759057,823945282
2023-10-06,213.55552673339844,27946.59765625,1645.83154296875,0.5261930227279663,214.39295959472656,28252.537109375,1659.60986328125,0.529079020023346,210.5572509765625,27215.552734375,1611.36572265625,0.5184940099716187,210.66526794433594,27412.123046875,1611.36572265625,0.5233539938926697,271152975,13492391599,4941208729,684500790
2023-10-07,212.36447143554688,27968.83984375,1634.51123046875,0.5219060182571411,213.85986328125,28028.091796875,1648.1837158203125,0.5261899828910828,211.76080322265625,27870.423828125,1631.158203125,0.5208330154418945,213.54396057128906,27946.78125,1645.8109130859375,0.5261899828910828,211771782,6553044316,2578994988,321512118
2023-10-08,211.51998901367188,27935.08984375,1633.548583984375,0.5179610252380371,212.84677124023438,28102.169921875,1641.182373046875,0.5235400199890137,209.7017822265625,27740.662109375,1618.189208984375,0.5172640085220337,212.38101196289062,27971.677734375,1634.6573486328125,0.5218790173530579,267193041,7916875290,3315554175,356449311
